"label","plate_no","exp_no","cell","treatment","treatment_label","day","day_lb","dbl_neg","isl_pos","islctnt_pos","ctnt_pos","tot_isl","tot_ctnt","set","genotype"
"B1_Sample1.fcs",1,1,"S3D21","CTRL","CTRL",3,"D3",63,35.4,0.47,1.06,35.87,1.53,"S3","D21"
"B2_Sample2.fcs",1,2,"S3D21","CTRL","CTRL",3,"D3",49.3,49.4,0.33,0.99,49.73,1.32,"S3","D21"
"B3_Sample3.fcs",1,3,"S3D21","CTRL","CTRL",3,"D3",80.8,16.8,0.28,2.14,17.08,2.42,"S3","D21"
"B4_Sample4.fcs",1,1,"S3T21","CTRL","CTRL",3,"D3",75.6,22.8,0.33,1.31,23.13,1.64,"S3","T21"
"B5_Sample5.fcs",1,2,"S3T21","CTRL","CTRL",3,"D3",58.4,39.2,0.8,1.6,40,2.4,"S3","T21"
"B6_Sample6.fcs",1,3,"S3T21","CTRL","CTRL",3,"D3",75.4,22.6,0.76,1.23,23.36,1.99,"S3","T21"
"C1_Sample7.fcs",1,1,"S3D21","CTRL","CTRL",4,"D4",17.2,82.1,0.44,0.24,82.54,0.68,"S3","D21"
"C2_Sample8.fcs",1,2,"S3D21","CTRL","CTRL",4,"D4",16.4,82.1,0.99,0.46,83.09,1.45,"S3","D21"
"C3_Sample9.fcs",1,3,"S3D21","CTRL","CTRL",4,"D4",39.7,59.4,0.56,0.41,59.96,0.97,"S3","D21"
"C7_Sample13.fcs",1,1,"S3D21","SAG","SAG",4,"D4",19,80.1,0.53,0.32,80.63,0.85,"S3","D21"
"C8_Sample14.fcs",1,2,"S3D21","SAG","SAG",4,"D4",14.3,83.2,2.02,0.51,85.22,2.53,"S3","D21"
"C9_Sample15.fcs",1,3,"S3D21","SAG","SAG",4,"D4",43.7,55.7,0.38,0.25,56.08,0.63,"S3","D21"
"D1_Sample19.fcs",1,1,"S3D21","VIS","VIS",4,"D4",28.3,70.9,0.47,0.28,71.37,0.75,"S3","D21"
"D2_Sample20.fcs",1,2,"S3D21","VIS","VIS",4,"D4",21.9,77.5,0.37,0.24,77.87,0.61,"S3","D21"
"D3_Sample21.fcs",1,3,"S3D21","VIS","VIS",4,"D4",48.7,50.7,0.18,0.38,50.88,0.56,"S3","D21"
"D7_Sample25.fcs",1,1,"S3D21","RA","RA",4,"D4",31.5,66.9,1.04,0.56,67.94,1.6,"S3","D21"
"D8_Sample26.fcs",1,2,"S3D21","RA","RA",4,"D4",35.7,62.6,0.58,1.16,63.18,1.74,"S3","D21"
"D9_Sample27.fcs",1,3,"S3D21","RA","RA",4,"D4",58.7,40.8,0.2,0.32,41,0.52,"S3","D21"
"E1_Sample31.fcs",1,1,"S3D21","RA_SAG","RA + 2uM SAG",4,"D4",33.5,65.6,0.72,0.26,66.32,0.98,"S3","D21"
"E2_Sample32.fcs",1,2,"S3D21","RA_SAG","RA + 2uM SAG",4,"D4",38.7,60.7,0.38,0.18,61.08,0.56,"S3","D21"
"E3_Sample33.fcs",1,3,"S3D21","RA_SAG","RA + 2uM SAG",4,"D4",68,31.9,0.068,0.045,31.968,0.113,"S3","D21"
"E7_Sample37.fcs",1,1,"S3D21","RA_VIS","RA + 500nM VIS",4,"D4",41,58.4,0.25,0.3,58.65,0.55,"S3","D21"
"E8_Sample38.fcs",1,2,"S3D21","RA_VIS","RA + 500nM VIS",4,"D4",50,49.7,0.1,0.18,49.8,0.28,"S3","D21"
"E9_Sample39.fcs",1,3,"S3D21","RA_VIS","RA + 500nM VIS",4,"D4",68.8,31,0.023,0.18,31.023,0.203,"S3","D21"
"C10_Sample16.fcs",1,1,"S3T21","SAG","SAG",4,"D4",33.4,65.9,0.41,0.3,66.31,0.71,"S3","T21"
"C11_Sample17.fcs",1,2,"S3T21","SAG","SAG",4,"D4",17,81.9,0.89,0.19,82.79,1.08,"S3","T21"
"C12_Sample18.fcs",1,3,"S3T21","SAG","SAG",4,"D4",57.1,42.3,0.19,0.39,42.49,0.58,"S3","T21"
"C4_Sample10.fcs",1,1,"S3T21","CTRL","CTRL",4,"D4",11.9,84.7,2.93,0.47,87.63,3.4,"S3","T21"
"C5_Sample11.fcs",1,2,"S3T21","CTRL","CTRL",4,"D4",17.8,80.7,1.3,0.27,82,1.57,"S3","T21"
"C6_Sample12.fcs",1,3,"S3T21","CTRL","CTRL",4,"D4",35.3,63.8,0.49,0.49,64.29,0.98,"S3","T21"
"D10_Sample28.fcs",1,1,"S3T21","RA","RA",4,"D4",45.2,54,0.33,0.46,54.33,0.79,"S3","T21"
"D11_Sample29.fcs",1,2,"S3T21","RA","RA",4,"D4",34.5,63.6,1.33,0.55,64.93,1.88,"S3","T21"
"D12_Sample30.fcs",1,3,"S3T21","RA","RA",4,"D4",57.3,41.9,0.39,0.39,42.29,0.78,"S3","T21"
"D4_Sample22.fcs",1,1,"S3T21","VIS","VIS",4,"D4",24.4,74.9,0.35,0.31,75.25,0.66,"S3","T21"
"D5_Sample23.fcs",1,2,"S3T21","VIS","VIS",4,"D4",25.1,74.3,0.2,0.33,74.5,0.53,"S3","T21"
"D6_Sample24.fcs",1,3,"S3T21","VIS","VIS",4,"D4",48.4,51,0.12,0.48,51.12,0.6,"S3","T21"
"E10_Sample40.fcs",1,1,"S3T21","RA_VIS","RA + 500nM VIS",4,"D4",47.3,52.4,0.14,0.17,52.54,0.31,"S3","T21"
"E11_Sample41.fcs",1,2,"S3T21","RA_VIS","RA + 500nM VIS",4,"S",49.1,50.8,0.037,0.075,50.837,0.112,"S3","T21"
"E12_Sample42.fcs",1,3,"S3T21","RA_VIS","RA + 500nM VIS",4,"D4",68.9,31,0.022,0.086,31.022,0.108,"S3","T21"
"E4_Sample34.fcs",1,1,"S3T21","RA_SAG","RA + 2uM SAG",4,"D4",42,57.6,0.083,0.33,57.683,0.413,"S3","T21"
"E5_Sample35.fcs",1,2,"S3T21","RA_SAG","RA + 2uM SAG",4,"D4",47,52.8,0.17,0.11,52.97,0.28,"S3","T21"
"E6_Sample36.fcs",1,3,"S3T21","RA_SAG","RA + 2uM SAG",4,"D4",67.8,32,0.043,0.19,32.043,0.233,"S3","T21"
"F1_Sample43.fcs",1,1,"S3D21","CTRL","CTRL",5,"D5",23.3,73,3.25,0.45,76.25,3.7,"S3","D21"
"F2_Sample44.fcs",1,2,"S3D21","CTRL","CTRL",5,"D5",49.6,49.4,0.86,0.16,50.26,1.02,"S3","D21"
"F3_Sample45.fcs",1,3,"S3D21","CTRL","CTRL",5,"D5",48.2,50.9,0.26,0.6,51.16,0.86,"S3","D21"
"F7_Sample49.fcs",1,1,"S3D21","SAG","SAG",5,"D5",18.2,79.9,1.62,0.28,81.52,1.9,"S3","D21"
"F8_Sample50.fcs",1,2,"S3D21","SAG","SAG",5,"D5",37.7,60.9,1.11,0.24,62.01,1.35,"S3","D21"
"F9_Sample51.fcs",1,3,"S3D21","SAG","SAG",5,"D5",36,62.9,0.81,0.31,63.71,1.12,"S3","D21"
"G1_Sample55.fcs",1,1,"S3D21","VIS","VIS",5,"D5",21.2,74.8,3.68,0.28,78.48,3.96,"S3","D21"
"G2_Sample56.fcs",1,2,"S3D21","VIS","VIS",5,"D5",40.7,58,0.92,0.33,58.92,1.25,"S3","D21"
"G3_Sample57.fcs",1,3,"S3D21","VIS","VIS",5,"D5",42.2,57.1,0.3,0.4,57.4,0.7,"S3","D21"
"G7_Sample61.fcs",1,1,"S3D21","RA","RA",5,"D5",57.4,36.1,2.5,4,38.6,6.5,"S3","D21"
"G8_Sample62.fcs",1,2,"S3D21","RA","RA",5,"D5",58.7,39.4,0.71,1.2,40.11,1.91,"S3","D21"
"G9_Sample63.fcs",1,3,"S3D21","RA","RA",5,"D5",76.9,22.1,0.22,0.75,22.32,0.97,"S3","D21"
"H1_Sample67.fcs",1,1,"S3D21","RA_SAG","RA + 2uM SAG",5,"D5",63.1,33.7,0.98,2.21,34.68,3.19,"S3","D21"
"H2_Sample68.fcs",1,2,"S3D21","RA_SAG","RA + 2uM SAG",5,"D5",63,35.5,0.58,0.94,36.08,1.52,"S3","D21"
"H3_Sample69.fcs",1,3,"S3D21","RA_SAG","RA + 2uM SAG",5,"D5",83.7,15.8,0.024,0.46,15.824,0.484,"S3","D21"
"H7_Sample73.fcs",1,1,"S3D21","RA_VIS","RA + 500nM VIS",5,"D5",67.8,28.7,0.59,2.88,29.29,3.47,"S3","D21"
"H8_Sample74.fcs",1,2,"S3D21","RA_VIS","RA + 500nM VIS",5,"D5",58.3,40.1,0.39,1.26,40.49,1.65,"S3","D21"
"H9_Sample75.fcs",1,3,"S3D21","RA_VIS","RA + 500nM VIS",5,"D5",78.6,20.7,0.077,0.59,20.777,0.667,"S3","D21"
"F10_Sample52.fcs",1,1,"S3T21","SAG","SAG",5,"D5",18,81.5,0.39,0.15,81.89,0.54,"S3","T21"
"F11_Sample53.fcs",1,2,"S3T21","SAG","SAG",5,"D5",40.6,57.6,1.58,0.24,59.18,1.82,"S3","T21"
"F12_Sample54.fcs",1,3,"S3T21","SAG","SAG",5,"D5",35,64.5,0.28,0.23,64.78,0.51,"S3","T21"
"F4_Sample46.fcs",1,1,"S3T21","CTRL","CTRL",5,"D5",18.6,80.8,0.37,0.24,81.17,0.61,"S3","T21"
"F5_Sample47.fcs",1,2,"S3T21","CTRL","CTRL",5,"D5",38.1,60.4,1.16,0.31,61.56,1.47,"S3","T21"
"F6_Sample48.fcs",1,3,"S3T21","CTRL","CTRL",5,"D5",30.8,67.8,0.86,0.55,68.66,1.41,"S3","T21"
"G10_Sample64.fcs",1,1,"S3T21","RA","RA",5,"D5",54.6,40.5,1.51,3.44,42.01,4.95,"S3","T21"
"G11_Sample65.fcs",1,2,"S3T21","RA","RA",5,"D5",52.2,45.4,1.09,1.33,46.49,2.42,"S3","T21"
"G12_Sample66.fcs",1,3,"S3T21","RA","RA",5,"D5",73.6,25.6,0.17,0.62,25.77,0.79,"S3","T21"
"G4_Sample58.fcs",1,1,"S3T21","VIS","VIS",5,"D5",19.9,78.3,1.4,0.36,79.7,1.76,"S3","T21"
"G5_Sample59.fcs",1,2,"S3T21","VIS","VIS",5,"D5",44,55,0.97,0.11,55.97,1.08,"S3","T21"
"G6_Sample60.fcs",1,3,"S3T21","VIS","VIS",5,"D5",38.3,60.8,0.55,0.3,61.35,0.85,"S3","T21"
"H10_Sample76.fcs",1,1,"S3T21","RA_VIS","RA + 500nM VIS",5,"D5",67.4,30.1,0.52,1.97,30.62,2.49,"S3","T21"
"H11_Sample77.fcs",1,2,"S3T21","RA_VIS","RA + 500nM VIS",5,"D5",56.1,42.7,0.78,0.39,43.48,1.17,"S3","T21"
"H12_Sample78.fcs",1,3,"S3T21","RA_VIS","RA + 500nM VIS",5,"D5",77.6,21.9,0.021,0.45,21.921,0.471,"S3","T21"
"H4_Sample70.fcs",1,1,"S3T21","RA_SAG","RA + 2uM SAG",5,"D5",43.4,42.4,6.27,7.92,48.67,14.19,"S3","T21"
"H5_Sample71.fcs",1,2,"S3T21","RA_SAG","RA + 2uM SAG",5,"D5",57,39.7,1.9,1.43,41.6,3.33,"S3","T21"
"H6_Sample72.fcs",1,3,"S3T21","RA_SAG","RA + 2uM SAG",5,"D5",69.1,30,0.25,0.68,30.25,0.93,"S3","T21"
"A1_Sample1.fcs",2,1,"S3D21","CTRL","CTRL",7,"D7",54.4,19.7,21.4,4.55,41.1,25.95,"S3","D21"
"A2_Sample2.fcs",2,2,"S3D21","CTRL","CTRL",7,"D7",65.7,13.1,15,6.23,28.1,21.23,"S3","D21"
"A3_Sample3.fcs",2,3,"S3D21","CTRL","CTRL",7,"D7",41.7,39.2,16.3,2.68,55.5,18.98,"S3","D21"
"A7_Sample7.fcs",2,1,"S3D21","SAG","SAG",7,"D7",49.1,22.8,22.8,5.25,45.6,28.05,"S3","D21"
"A8_Sample8.fcs",2,2,"S3D21","SAG","SAG",7,"D7",38,22,34.1,5.96,56.1,40.06,"S3","D21"
"A9_Sample9.fcs",2,3,"S3D21","SAG","SAG",7,"D7",37.2,51.2,9.69,1.9,60.89,11.59,"S3","D21"
"B1_Sample13.fcs",2,1,"S3D21","VIS","VIS",7,"D7",64.3,16.9,14.9,3.89,31.8,18.79,"S3","D21"
"B2_Sample14.fcs",2,2,"S3D21","VIS","VIS",7,"D7",53.5,21,20,5.47,41,25.47,"S3","D21"
"B3_Sample15.fcs",2,3,"S3D21","VIS","VIS",7,"D7",44.2,32.2,20,3.53,52.2,23.53,"S3","D21"
"B7_Sample19.fcs",2,1,"S3D21","RA","RA",7,"D7",75.3,15.3,7.48,1.97,22.78,9.45,"S3","D21"
"B8_Sample20.fcs",2,2,"S3D21","RA","RA",7,"D7",86.5,8.12,3.89,1.48,12.01,5.37,"S3","D21"
"B9_Sample21.fcs",2,3,"S3D21","RA","RA",7,"D7",60.3,23.2,13.8,2.63,37,16.43,"S3","D21"
"C1_Sample25.fcs",2,1,"S3D21","RA_SAG","RA + 2uM SAG",7,"D7",61.9,21.8,14,2.34,35.8,16.34,"S3","D21"
"C2_Sample26.fcs",2,2,"S3D21","RA_SAG","RA + 2uM SAG",7,"D7",72.4,15.4,9.18,2.99,24.58,12.17,"S3","D21"
"C3_Sample27.fcs",2,3,"S3D21","RA_SAG","RA + 2uM SAG",7,"D7",49.9,34,13.7,2.39,47.7,16.09,"S3","D21"
"C7_Sample31.fcs",2,1,"S3D21","RA_VIS","RA + 500nM VIS",7,"D7",79.5,14,5.01,1.55,19.01,6.56,"S3","D21"
"C8_Sample32.fcs",2,2,"S3D21","RA_VIS","RA + 500nM VIS",7,"D7",80.6,13.8,4.17,1.47,17.97,5.64,"S3","D21"
"C9_Sample33.fcs",2,3,"S3D21","RA_VIS","RA + 500nM VIS",7,"D7",61.4,22.9,12.4,3.29,35.3,15.69,"S3","D21"
"A10_Sample10.fcs",2,1,"S3T21","SAG","SAG",7,"D7",53.8,19,20.3,6.89,39.3,27.19,"S3","T21"
"A11_Sample11.fcs",2,2,"S3T21","SAG","SAG",7,"D7",35.5,20.9,33.8,9.78,54.7,43.58,"S3","T21"
"A12_Sample12.fcs",2,3,"S3T21","SAG","SAG",7,"D7",40.2,34.4,22.5,2.93,56.9,25.43,"S3","T21"
"A4_Sample4.fcs",2,1,"S3T21","CTRL","CTRL",7,"D7",53.7,18.8,23,4.48,41.8,27.48,"S3","T21"
"A5_Sample5.fcs",2,2,"S3T21","CTRL","CTRL",7,"D7",51.8,13.7,23.5,10.9,37.2,34.4,"S3","T21"
