"well","sample","plate","exp_no","cell","treatment_label","treatment","day","day_lb","dbl_neg","isl_pos","islctnt_pos","ctnt_pos","tot_isl","tot_ctnt","set","genotype"
"B1","S2D21_D3_NT_1",1,1,"S2D21","No Treatment","NT",3,"D3",65.9,33.7,0.17,0.2,33.87,0.37,"S2","D21"
"B2","S2D21_D4_NT_1",1,1,"S2D21","No Treatment","NT",4,"D4",25.9,73.3,0.61,0.22,73.91,0.83,"S2","D21"
"B3","S2D21_D5_NT_1",1,1,"S2D21","No Treatment","NT",5,"D5",26.9,59.8,13.1,0.19,72.9,13.29,"S2","D21"
"B4","S2D21_D6_NT_1",1,1,"S2D21","No Treatment","NT",6,"D6",27.5,17.3,51.3,3.88,68.6,55.18,"S2","D21"
"B5","S2D21_D7_NT_1",1,1,"S2D21","No Treatment","NT",7,"D7",39,8.8,27,25.2,35.8,52.2,"S2","D21"
"B6","S2D21_D8_NT_1",1,1,"S2D21","No Treatment","NT",8,"D8",36.6,6.63,16.6,40.1,23.23,56.7,"S2","D21"
"B7","S2D21_D9_NT_1",1,1,"S2D21","No Treatment","NT",9,"D9",40.7,4.07,16.9,38.4,20.97,55.3,"S2","D21"
"B8","S2D21_D10_NT_1",1,1,"S2D21","No Treatment","NT",10,"D10",42.5,2.93,15.2,39.3,18.13,54.5,"S2","D21"
"B9","S2D21_D4_1uM_RA_1",1,1,"S2D21","1uM RA","RA",4,"D4",49,50.3,0.48,0.17,50.78,0.65,"S2","D21"
"B10","S2D21_D5_1uM_RA_1",1,1,"S2D21","1uM RA","RA",5,"D5",46.9,48.8,3.42,0.92,52.22,4.34,"S2","D21"
"B11","S2D21_D6_1uM_RA_1",1,1,"S2D21","1uM RA","RA",6,"D6",51.9,25.9,19.7,2.42,45.6,22.12,"S2","D21"
"B12","S2D21_D7_1uM_RA_1",1,1,"S2D21","1uM RA","RA",7,"D7",42.8,8.97,30.1,18.1,39.07,48.2,"S2","D21"
"C1","S2D21_D8_1uM_RA_1",1,1,"S2D21","1uM RA","RA",8,"D8",35.1,3.71,15.2,46,18.91,61.2,"S2","D21"
"C2","S2D21_D9_1uM_RA_1",1,1,"S2D21","1uM RA","RA",9,"D9",39.3,1.66,12,47,13.66,59,"S2","D21"
"C3","S2D21_D10_1uM_RA_1",1,1,"S2D21","1uM RA","RA",10,"D10",36.1,1.44,4.42,58,5.86,62.42,"S2","D21"
"C4","S2T21_D3_NT_1",1,1,"S2T21","No Treatment","NT",3,"D3",73.9,25.9,0.11,0.081,26.01,0.191,"S2","T21"
"C5","S2T21_D4_NT_1",1,1,"S2T21","No Treatment","NT",4,"D4",20.5,79.3,0.18,0.011,79.48,0.191,"S2","T21"
"C6","S2T21_D5_NT_1",1,1,"S2T21","No Treatment","NT",5,"D5",29.5,63.1,7.16,0.3,70.26,7.46,"S2","T21"
"C7","S2T21_D6_NT_1",1,1,"S2T21","No Treatment","NT",6,"D6",39,30.6,27.8,2.63,58.4,30.43,"S2","T21"
"C8","S2T21_D7_NT_1",1,1,"S2T21","No Treatment","NT",7,"D7",40.4,19.3,32.4,7.94,51.7,40.34,"S2","T21"
"C9","S2T21_D8_NT_1",1,1,"S2T21","No Treatment","NT",8,"D8",39.7,12.4,22.2,25.7,34.6,47.9,"S2","T21"
"C10","S2T21_D9_NT_1",1,1,"S2T21","No Treatment","NT",9,"D9",39.3,9.48,29.8,21.4,39.28,51.2,"S2","T21"
"C11","S2T21_D10_NT_1",1,1,"S2T21","No Treatment","NT",10,"D10",45.8,8.63,24.8,20.7,33.43,45.5,"S2","T21"
"C12","S2T21_D4_1uM_RA_1",1,1,"S2T21","1uM RA","RA",4,"D4",51.3,48.5,0.11,0.1,48.61,0.21,"S2","T21"
"D1","S2T21_D5_1uM_RA_1",1,1,"S2T21","1uM RA","RA",5,"D5",57.5,39.5,2.15,0.78,41.65,2.93,"S2","T21"
"D2","S2T21_D6_1uM_RA_1",1,1,"S2T21","1uM RA","RA",6,"D6",69.3,17.4,10.8,2.55,28.2,13.35,"S2","T21"
"D3","S2T21_D7_1uM_RA_1",1,1,"S2T21","1uM RA","RA",7,"D7",62,13,16.9,8.16,29.9,25.06,"S2","T21"
"D4","S2T21_D8_1uM_RA_1",1,1,"S2T21","1uM RA","RA",8,"D8",60.8,3.55,16.6,19,20.15,35.6,"S2","T21"
"D5","S2T21_D9_1uM_RA_1",1,1,"S2T21","1uM RA","RA",9,"D9",52.8,2.27,14.9,30,17.17,44.9,"S2","T21"
"D6","S2T21_D10_1uM_RA_1",1,1,"S2T21","1uM RA","RA",10,"D10",55.5,0.81,8.22,35.5,9.03,43.72,"S2","T21"
"D7","S2D21_D3_NT_2",1,2,"S2D21","No Treatment","NT",3,"D3",68.9,31,0.067,0.048,31.067,0.115,"S2","D21"
"D8","S2D21_D4_NT_2",1,2,"S2D21","No Treatment","NT",4,"D4",30.5,69.3,0.12,0.034,69.42,0.154,"S2","D21"
"D9","S2D21_D5_NT_2",1,2,"S2D21","No Treatment","NT",5,"D5",34.2,63.2,2.57,0.094,65.77,2.664,"S2","D21"
"D10","S2D21_D6_NT_2",1,2,"S2D21","No Treatment","NT",6,"D6",32.9,25.5,38.5,3.11,64,41.61,"S2","D21"
"D11","S2D21_D7_NT_2",1,2,"S2D21","No Treatment","NT",7,"D7",41.1,11.8,20,27.2,31.8,47.2,"S2","D21"
"D12","S2D21_D8_NT_2",1,2,"S2D21","No Treatment","NT",8,"D8",34.5,7.6,20.4,37.5,28,57.9,"S2","D21"
"E1","S2D21_D9_NT_2",1,2,"S2D21","No Treatment","NT",9,"D9",35.9,6.33,15.7,42,22.03,57.7,"S2","D21"
"E2","S2D21_D10_NT_2",1,2,"S2D21","No Treatment","NT",10,"D10",36.8,3.28,14.5,45.5,17.78,60,"S2","D21"
"E3","S2D21_D4_1uM_RA_2",1,2,"S2D21","1uM RA","RA",4,"D4",57.9,41.8,0.17,0.11,41.97,0.28,"S2","D21"
"E4","S2D21_D5_1uM_RA_2",1,2,"S2D21","1uM RA","RA",5,"D5",57.3,41.6,0.74,0.33,42.34,1.07,"S2","D21"
"E5","S2D21_D6_1uM_RA_2",1,2,"S2D21","1uM RA","RA",6,"D6",48.9,33.3,15.2,2.55,48.5,17.75,"S2","D21"
"E6","S2D21_D7_1uM_RA_2",1,2,"S2D21","1uM RA","RA",7,"D7",46.4,12.4,18.7,22.4,31.1,41.1,"S2","D21"
"E7","S2D21_D8_1uM_RA_2",1,2,"S2D21","1uM RA","RA",8,"D8",30.3,3.25,18.3,48.1,21.55,66.4,"S2","D21"
"E8","S2D21_D9_1uM_RA_2",1,2,"S2D21","1uM RA","RA",9,"D9",37,1.88,8.23,52.9,10.11,61.13,"S2","D21"
