"label","plate_no","exp_no","cell","treatment","treatment_label","treatment_no","day","day_lb","dbl_neg","isl_pos","islctnt_pos","ctnt_pos","tot_isl","tot_ctnt","set","genotype"
"B1_Sample1.fcs",1,1,"S3D21","NT","No Treatment",0,3,"D3",62.8,36.5,0.25,0.41,36.75,0.66,"S3","D21"
"B2_Sample2.fcs",1,2,"S3D21","NT","No Treatment",0,3,"D3",91.5,7.84,0.073,0.62,7.913,0.693,"S3","D21"
"B3_Sample3.fcs",1,3,"S3D21","NT","No Treatment",0,3,"D3",76.8,21.5,0.28,1.46,21.78,1.74,"S3","D21"
"B4_Sample4.fcs",1,4,"S3D21","NT","No Treatment",0,3,"D3",81.4,18.2,0.067,0.37,18.267,0.437,"S3","D21"
"C5_Sample17.fcs",1,1,"S3D21","NT","No Treatment",0,4,"D4",13,84.3,2.52,0.22,86.82,2.74,"S3","D21"
"C6_Sample18.fcs",1,2,"S3D21","NT","No Treatment",0,4,"D4",34.9,64.5,0.41,0.13,64.91,0.54,"S3","D21"
"C7_Sample19.fcs",1,3,"S3D21","NT","No Treatment",0,4,"D4",31.6,68.2,0.14,0.049,68.34,0.189,"S3","D21"
"C8_Sample20.fcs",1,4,"S3D21","NT","No Treatment",0,4,"D4",43.3,56.6,0.1,0.069,56.7,0.169,"S3","D21"
"F1_Sample49.fcs",1,1,"S3D21","NT","No Treatment",0,5,"D5",19,68.7,11.9,0.49,80.6,12.39,"S3","D21"
"F2_Sample50.fcs",1,2,"S3D21","NT","No Treatment",0,5,"D5",16,80,3.71,0.2,83.71,3.91,"S3","D21"
"F3_Sample51.fcs",1,3,"S3D21","NT","No Treatment",0,5,"D5",18.2,81.4,0.34,0.074,81.74,0.414,"S3","D21"
"F4_Sample52.fcs",1,4,"S3D21","NT","No Treatment",0,5,"D5",16.2,82,1.71,0.11,83.71,1.82,"S3","D21"
"B1_Sample1.fcs",2,1,"S3D21","NT","No Treatment",0,6,"D6",32.7,34.9,29.8,2.53,64.7,32.33,"S3","D21"
"B2_Sample2.fcs",2,2,"S3D21","NT","No Treatment",0,6,"D6",14.6,55.1,29.2,1.02,84.3,30.22,"S3","D21"
"B3_Sample3.fcs",2,3,"S3D21","NT","No Treatment",0,6,"D6",14.2,48.8,34.8,2.17,83.6,36.97,"S3","D21"
"B4_Sample4.fcs",2,4,"S3D21","NT","No Treatment",0,6,"D6",11.2,61.1,26.6,1.03,87.7,27.63,"S3","D21"
"D9_Sample33.fcs",2,1,"S3D21","NT","No Treatment",0,7,"D7",43.1,18.5,35,3.44,53.5,38.44,"S3","D21"
"D10_Sample34.fcs",2,2,"S3D21","NT","No Treatment",0,7,"D7",30.7,33.6,32.9,2.8,66.5,35.7,"S3","D21"
"D11_Sample35.fcs",2,3,"S3D21","NT","No Treatment",0,7,"D7",31,22.6,42.3,4.11,64.9,46.41,"S3","D21"
"D12_Sample36.fcs",2,4,"S3D21","NT","No Treatment",0,7,"D7",24.1,32.4,41.4,2.12,73.8,43.52,"S3","D21"
"B1_Sample1.fcs",3,1,"S3D21","NT","No Treatment",0,8,"D8",51.4,13.6,30.4,4.57,44,34.97,"S3","D21"
"B2_Sample2.fcs",3,2,"S3D21","NT","No Treatment",0,8,"D8",45.6,19.3,28.9,6.23,48.2,35.13,"S3","D21"
"B3_Sample3.fcs",3,3,"S3D21","NT","No Treatment",0,8,"D8",36.8,19.7,35.8,7.69,55.5,43.49,"S3","D21"
