"sampleID","genotype","treatment_protocol","timepoint","fullSampleID","sex","experimentalBatch","treatment","genotype_treatment","genotype_timepoint","genotype_timepoint_treatment","genotype_timepoint_treatment_batch","seq_run","cell_set","sampleID_original","sampleID_unique"
"SAB01","D21","No Treatment","D3","S3D21_D3_ctrl_1","F","1","CTRL","D21_CTRL","D21_D3","D21_D3_CTRL","D21_D3_CTRL_1","1","Set3","SAB01","Set3_SAB01"
"SAB02","T21","No Treatment","D3","S3T21 _D3 _ctrl_1","F","1","CTRL","T21_CTRL","T21_D3","T21_D3_CTRL","T21_D3_CTRL_1","1","Set3","SAB02","Set3_SAB02"
"SAB03","D21","No Treatment","D4","S3D21_D4_ctrl_1","F","1","CTRL","D21_CTRL","D21_D4","D21_D4_CTRL","D21_D4_CTRL_1","1","Set3","SAB03","Set3_SAB03"
"SAB04","T21","No Treatment","D4","S3T21 _D4 _ctrl_1","F","1","CTRL","T21_CTRL","T21_D4","T21_D4_CTRL","T21_D4_CTRL_1","1","Set3","SAB04","Set3_SAB04"
"SAB05","D21","1uM RA D3-D5","D4","S3D21_D4_RA_1","F","1","RA","D21_RA","D21_D4","D21_D4_RA","D21_D4_RA_1","1","Set3","SAB05","Set3_SAB05"
"SAB06","T21","1uM RA D3-D5","D4","S3T21 _D4_RA_1","F","1","RA","T21_RA","T21_D4","T21_D4_RA","T21_D4_RA_1","1","Set3","SAB06","Set3_SAB06"
"SAB07","D21","No Treatment","D6","S3D21_D6_ctrl_1","F","1","CTRL","D21_CTRL","D21_D6","D21_D6_CTRL","D21_D6_CTRL_1","1","Set3","SAB07","Set3_SAB07"
"SAB08","T21","No Treatment","D6","S3T21 _D6_ctrl_1","F","1","CTRL","T21_CTRL","T21_D6","T21_D6_CTRL","T21_D6_CTRL_1","1","Set3","SAB08","Set3_SAB08"
"SAB09","D21","1uM RA D3-D5","D6","S3D21_D6_RA_1","F","1","RA","D21_RA","D21_D6","D21_D6_RA","D21_D6_RA_1","1","Set3","SAB09","Set3_SAB09"
"SAB10","T21","1uM RA D3-D5","D6","S3T21 _D6_RA_1","F","1","RA","T21_RA","T21_D6","T21_D6_RA","T21_D6_RA_1","1","Set3","SAB10","Set3_SAB10"
"SAB11","D21","No Treatment","D8","S3D21_D8_ctrl_1","F","1","CTRL","D21_CTRL","D21_D8","D21_D8_CTRL","D21_D8_CTRL_1","1","Set3","SAB11","Set3_SAB11"
"SAB12","T21","No Treatment","D8","S3T21 _D8_ctrl_1","F","1","CTRL","T21_CTRL","T21_D8","T21_D8_CTRL","T21_D8_CTRL_1","1","Set3","SAB12","Set3_SAB12"
"SAB13","D21","1uM RA D3-D5","D8","S3D21_D8_RA_1","F","1","RA","D21_RA","D21_D8","D21_D8_RA","D21_D8_RA_1","1","Set3","SAB13","Set3_SAB13"
"SAB14","T21","1uM RA D3-D5","D8","S3T21 _D8_RA_1","F","1","RA","T21_RA","T21_D8","T21_D8_RA","T21_D8_RA_1","1","Set3","SAB14","Set3_SAB14"
"SAB15","D21","No Treatment","D10","S3D21_D10_ctrl_1","F","1","CTRL","D21_CTRL","D21_D10","D21_D10_CTRL","D21_D10_CTRL_1","1","Set3","SAB15","Set3_SAB15"
"SAB16","T21","No Treatment","D10","S3T21 _D10_ctrl_1","F","1","CTRL","T21_CTRL","T21_D10","T21_D10_CTRL","T21_D10_CTRL_1","1","Set3","SAB16","Set3_SAB16"
"SAB17","D21","1uM RA D3-D5","D10","S3D21_D10_RA_1","F","1","RA","D21_RA","D21_D10","D21_D10_RA","D21_D10_RA_1","1","Set3","SAB17","Set3_SAB17"
"SAB18","T21","1uM RA D3-D5","D10","S3T21 _D10_RA_1","F","1","RA","T21_RA","T21_D10","T21_D10_RA","T21_D10_RA_1","1","Set3","SAB18","Set3_SAB18"
"SAB19","D21","No Treatment","D3","S3D21_D3_ctrl_2","F","2","CTRL","D21_CTRL","D21_D3","D21_D3_CTRL","D21_D3_CTRL_2","1","Set3","SAB19","Set3_SAB19"
"SAB20","T21","No Treatment","D3","S3T21 _D3 _ctrl_2","F","2","CTRL","T21_CTRL","T21_D3","T21_D3_CTRL","T21_D3_CTRL_2","1","Set3","SAB20","Set3_SAB20"
"SAB21","D21","No Treatment","D4","S3D21_D4_ctrl_2","F","2","CTRL","D21_CTRL","D21_D4","D21_D4_CTRL","D21_D4_CTRL_2","1","Set3","SAB21","Set3_SAB21"
"SAB22","T21","No Treatment","D4","S3T21 _D4 _ctrl_2","F","2","CTRL","T21_CTRL","T21_D4","T21_D4_CTRL","T21_D4_CTRL_2","1","Set3","SAB22","Set3_SAB22"
"SAB23","D21","1uM RA D3-D5","D4","S3D21_D4_RA_2","F","2","RA","D21_RA","D21_D4","D21_D4_RA","D21_D4_RA_2","1","Set3","SAB23","Set3_SAB23"
"SAB24","T21","1uM RA D3-D5","D4","S3T21 _D4_RA_2","F","2","RA","T21_RA","T21_D4","T21_D4_RA","T21_D4_RA_2","1","Set3","SAB24","Set3_SAB24"
"SAB25","D21","No Treatment","D6","S3D21_D6_ctrl_2","F","2","CTRL","D21_CTRL","D21_D6","D21_D6_CTRL","D21_D6_CTRL_2","1","Set3","SAB25","Set3_SAB25"
"SAB26","T21","No Treatment","D6","S3T21 _D6_ctrl_2","F","2","CTRL","T21_CTRL","T21_D6","T21_D6_CTRL","T21_D6_CTRL_2","1","Set3","SAB26","Set3_SAB26"
"SAB27","D21","1uM RA D3-D5","D6","S3D21_D6_RA_2","F","2","RA","D21_RA","D21_D6","D21_D6_RA","D21_D6_RA_2","1","Set3","SAB27","Set3_SAB27"
"SAB28","T21","1uM RA D3-D5","D6","S3T21 _D6_RA_2","F","2","RA","T21_RA","T21_D6","T21_D6_RA","T21_D6_RA_2","1","Set3","SAB28","Set3_SAB28"
"SAB29","D21","No Treatment","D8","S3D21_D8_ctrl_2","F","2","CTRL","D21_CTRL","D21_D8","D21_D8_CTRL","D21_D8_CTRL_2","1","Set3","SAB29","Set3_SAB29"
"SAB30","T21","No Treatment","D8","S3T21 _D8_ctrl_2","F","2","CTRL","T21_CTRL","T21_D8","T21_D8_CTRL","T21_D8_CTRL_2","1","Set3","SAB30","Set3_SAB30"
"SAB31","D21","1uM RA D3-D5","D8","S3D21_D8_RA_2","F","2","RA","D21_RA","D21_D8","D21_D8_RA","D21_D8_RA_2","1","Set3","SAB31","Set3_SAB31"
"SAB32","T21","1uM RA D3-D5","D8","S3T21 _D8_RA_2","F","2","RA","T21_RA","T21_D8","T21_D8_RA","T21_D8_RA_2","1","Set3","SAB32","Set3_SAB32"
"SAB33","D21","No Treatment","D10","S3D21_D10_ctrl_2","F","2","CTRL","D21_CTRL","D21_D10","D21_D10_CTRL","D21_D10_CTRL_2","1","Set3","SAB33","Set3_SAB33"
"SAB34","T21","No Treatment","D10","S3T21 _D10_ctrl_2","F","2","CTRL","T21_CTRL","T21_D10","T21_D10_CTRL","T21_D10_CTRL_2","1","Set3","SAB34","Set3_SAB34"
"SAB35","D21","1uM RA D3-D5","D10","S3D21_D10_RA_2","F","2","RA","D21_RA","D21_D10","D21_D10_RA","D21_D10_RA_2","1","Set3","SAB35","Set3_SAB35"
"SAB36","T21","1uM RA D3-D5","D10","S3T21 _D10_RA_2","F","2","RA","T21_RA","T21_D10","T21_D10_RA","T21_D10_RA_2","1","Set3","SAB36","Set3_SAB36"
"SAB37","D21","No Treatment","D3","S3D21_D3_ctrl_3","F","3","CTRL","D21_CTRL","D21_D3","D21_D3_CTRL","D21_D3_CTRL_3","1","Set3","SAB37","Set3_SAB37"
"SAB38","T21","No Treatment","D3","S3T21 _D3 _ctrl_3","F","3","CTRL","T21_CTRL","T21_D3","T21_D3_CTRL","T21_D3_CTRL_3","1","Set3","SAB38","Set3_SAB38"
"SAB39","D21","No Treatment","D4","S3D21_D4_ctrl_3","F","3","CTRL","D21_CTRL","D21_D4","D21_D4_CTRL","D21_D4_CTRL_3","1","Set3","SAB39","Set3_SAB39"
"SAB40","T21","No Treatment","D4","S3T21 _D4 _ctrl_3","F","3","CTRL","T21_CTRL","T21_D4","T21_D4_CTRL","T21_D4_CTRL_3","1","Set3","SAB40","Set3_SAB40"
"SAB41","D21","1uM RA D3-D5","D4","S3D21_D4_RA_3","F","3","RA","D21_RA","D21_D4","D21_D4_RA","D21_D4_RA_3","1","Set3","SAB41","Set3_SAB41"
