ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,contrast
REACTOME_STRIATED_MUSCLE_CONTRACTION,REACTOME_STRIATED_MUSCLE_CONTRACTION,32,-0.7869450671028552,-2.0647377133219567,9.955989363139104e-6,5.973593617883462e-5,NA,1356,"tags=38%, list=8%, signal=35%",TTN/TNNI1/TNNC2/TMOD2/MYH6/TPM1/VIM/MYL4/TNNC1/ACTC1/ACTN2/TMOD1,D21_D6_RA_vs_CTRL
KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG_CARDIAC_MUSCLE_CONTRACTION,68,-0.5573948093815247,-1.6781033241842769,0.0037256875572365,0.005839091163658644,NA,3166,"tags=40%, list=18%, signal=33%",UQCRC2/TPM2/ATP1A1/ATP1B2/UQCRHL/COX6B2/UQCRB/ATP1B1/COX6B1/SLC9A1/CYC1/CACNA1D/COX7B/CACNA2D2/CACNA1C/CACNA2D3/ATP1B3/UQCRH/ATP1A2/CACNG7/MYH6/TPM1/COX6A2/MYH7/TNNC1/ATP1A3/ACTC1,D21_D6_RA_vs_CTRL
GOBP_SARCOMERE_ORGANIZATION,GOBP_SARCOMERE_ORGANIZATION,47,-0.5796548107656903,-1.6392851880037482,0.003892727442439096,0.005839091163658644,NA,1522,"tags=34%, list=9%, signal=31%",FLII/KRT19/MYLK3/TTN/SRF/PROX1/FHOD3/WDR1/CSRP1/MYH6/TPM1/CSRP2/KRT8/LDB3/CAPN3/ACTN2,D21_D6_RA_vs_CTRL
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,195,-0.4237746696140562,-1.4792563132675864,0.0030272266813779836,0.005839091163658644,NA,4773,"tags=46%, list=27%, signal=34%",CDC20/SRSF2/CKS1B/PLK4/BIRC5/TK1/TACC3/TBRG4/TRIP13/TCF19/PA2G4/DLGAP5/ILF3/EXOSC8/USP1/PLK1/NUDT21/POLE/POP7/CHEK2/MAD2L1/POLD1/ATAD2/CDC25A/ANP32E/RAD1/POLD3/PTTG1/UBE2S/PSIP1/PPP1R8/UBR7/MCM5/CDK1/RAD51AP1/SMC1A/POLA2/DDX39A/RNASEH2A/HNRNPD/CDCA8/ZW10/AURKA/RAN/NOLC1/RPA1/CHEK1/MTHFD2/KPNA2/DNMT1/SPC25/NUP107/BARD1/SHMT1/PHF5A/HELLS/RFC3/SNRPB/DSCC1/MYBL2/DEK/MELK/XRCC6/ASF1B/HMGB3/GSPT1/MCM6/SRSF1/BRMS1L/NASP/RAD21/LYAR/TUBG1/MCM3/TFRC/NOP56/EED/MSH2/CSE1L/UNG/RPA3/SUV39H1/CKS2/PRDX4/PRIM2/ORC2/E2F8/MCM4/DIAPH3,D21_D6_RA_vs_CTRL
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,188,-0.3920391310499072,-1.3606127236718675,0.01410928565744524,0.016931142788934286,NA,5242,"tags=47%, list=30%, signal=33%",YTHDC1/LMNB1/CCNB2/PURA/CDKN1B/CUL3/SLC12A2/KIF23/CCNF/RPA2/SLC7A1/NDC80/G3BP1/TOP1/CDC20/SFPQ/SRSF2/CKS1B/PLK4/KATNA1/BIRC5/TACC3/CASP8AP2/CHMP1A/CDC45/SNRPD1/ILF3/PLK1/TGFB1/POLE/KIF5B/MAD2L1/CDC25A/PRMT5/PTTG1/UBE2S/MNAT1/DKC1/ABL1/RAD54L/KIF20B/CCNA2/MCM5/CDK1/SMC1A/CHAF1A/SMC2/NCL/POLA2/DDX39A/HNRNPD/EXO1/UPF1/NEK2/AURKA/NOLC1/DR1/CDC6/CHEK1/HIRA/KPNA2/SS18/BARD1/BUB1/HMGN2/MYBL2/CCND1/DTYMK/TNPO2/STIL/HMGB3/GSPT1/MCM6/HSPA8/RBM14/SRSF1/NASP/RAD21/KPNB1/MCM3/SLC38A1/TFDP1/SUV39H1/CKS2/HIF1A/PRIM2/NUP50/HOXC10,D21_D6_RA_vs_CTRL
GOBP_CARDIAC_MUSCLE_CONTRACTION,GOBP_CARDIAC_MUSCLE_CONTRACTION,143,0.4273987701264964,1.4024243332994863,0.022914190774085248,0.022914190774085248,NA,1450,"tags=18%, list=8%, signal=17%",KCNA5/PDE4D/BMP10/KCNJ3/GATA4/HCN4/PLN/CACNA1G/PDE4B/ADRB2/AKAP9/KCNJ2/SRI/SCN2B/KCNJ8/SGCD/TNNI3/CHGA/PPP1R13L/ABCC9/JPH1/NEDD4L/SCN3B/KCNE1/GSTO1/SCN1B,D21_D6_RA_vs_CTRL
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,195,-0.7267585615797453,-2.680294276262125,1e-10,3e-10,1.5789473684210526e-10,2309,"tags=56%, list=13%, signal=49%",BRCA2/NUP205/KIF18B/DLGAP5/LMNB1/HUS1/PAICS/CDC20/ORC2/RFC1/HMGB3/USP1/PRDX4/BUB1B/KPNA2/HMGA1/RAD1/HMMR/KIF4A/SHMT1/ZW10/WDR90/AURKB/HMGB2/EED/RAN/RRM2/TACC3/DNMT1/MTHFD2/NCAPD2/KIF2C/E2F8/RAD21/SMC4/SPC25/POLD3/EXOSC8/PCNA/SSRP1/CIT/CDCA3/ESPL1/PSMC3IP/NASP/CDC25B/MSH2/SPC24/UNG/ATAD2/MCM2/TCF19/ORC6/MAD2L1/CKS1B/XRCC6/POP7/DCLRE1B/TRIP13/DEK/CCNB2/TIMELESS/RACGAP1/DIAPH3/BIRC5/CHEK2/CHEK1/PLK4/CDC25A/RBBP7/PLK1/POLE/BARD1/TFRC/DSCC1/GINS1/POLD1/MLH1/RFC3/CENPM/CDCA8/RPA2/MCM7/SUV39H1/SNRPB/CSE1L/MCM6/MELK/NUP107/ASF1B/SMC1A/UBR7/POLA2/AURKA/MCM5/HELLS/RAD51AP1/BRCA1/TK1/LIG1/CKS2/PRIM2/RNASEH2A/MCM4/MYBL2/RPA3/MCM3/RFC2/RPA1,D21_D8_RA_vs_CTRL
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,188,-0.661548104561346,-2.4378524976747435,1e-10,3e-10,1.5789473684210526e-10,2180,"tags=43%, list=12%, signal=38%",LMNB1/TPX2/KIF15/HUS1/KATNA1/POLQ/KIF11/NUSAP1/CDC20/HMGB3/KPNA2/UPF1/HMGA1/RBL1/HMMR/KIF4A/KIF23/BUB1/NEK2/TFDP1/CCNA2/AURKB/SLC38A1/INCENP/SAP30/HIF1A/TACC3/KIF20B/PRMT5/RBM14/KIF2C/RAD21/HMGN2/SMC4/ORC5/ESPL1/NASP/CDC25B/NDC80/MCM2/ORC6/MAD2L1/CKS1B/TTK/CCNB2/RACGAP1/BIRC5/CHEK1/PLK4/CDC25A/GINS2/PLK1/POLE/BARD1/CDC45/STIL/E2F1/SMC2/CCNF/RPA2/SUV39H1/BUB3/KPNB1/MCM6/EXO1/SMC1A/POLA2/HOXC10/CHAF1A/AURKA/MCM5/CDC6/RAD54L/CKS2/TRAIP/NUP50/PRIM2/DTYMK/MYBL2/MCM3,D21_D8_RA_vs_CTRL
GOBP_CARDIAC_MUSCLE_CONTRACTION,GOBP_CARDIAC_MUSCLE_CONTRACTION,143,0.5663659206484628,1.9428986738921512,6.04066828781475e-6,1.20813365756295e-5,6.358598197699736e-6,1459,"tags=20%, list=8%, signal=19%",KCNA5/KCNJ3/HCN4/BMP10/SCN3B/PDE4D/PLN/TNNI3K/GATA4/ATP2A2/AKAP9/CACNA1G/TNNI3/ADRB2/SGCD/JPH4/TRDN/PDE4B/SCN3A/TNNT2/SRI/KCNE1/ADRB3/SMAD5/DLG1/CACNB2/MYH7B/GSTO1/CSRP3,D21_D8_RA_vs_CTRL
GOBP_SARCOMERE_ORGANIZATION,GOBP_SARCOMERE_ORGANIZATION,47,0.4363117467294052,1.2434404059878483,0.149812734082397,0.2247191011235955,0.11827321111768184,1853,"tags=28%, list=10%, signal=25%",BMP10/LMOD2/AKAP13/MYPN/TNNT2/SRF/TNNT1/MYOM2/MYOM1/CSRP3/OBSCN/ACTG1/ANKRD23,D21_D8_RA_vs_CTRL
