"Comparison","Contrast","Direction","NumGenes"
"D21_RA_vs_D21_CTRL","D21_D10_RA_vs_D21_D10_CTRL","Downregulated",376
"D21_RA_vs_D21_CTRL","D21_D10_RA_vs_D21_D10_CTRL","Upregulated",560
"D21_RA_vs_D21_CTRL","D21_D4_RA_vs_D21_D4_CTRL","Downregulated",727
"D21_RA_vs_D21_CTRL","D21_D4_RA_vs_D21_D4_CTRL","Upregulated",982
"D21_RA_vs_D21_CTRL","D21_D6_RA_vs_D21_D6_CTRL","Downregulated",470
"D21_RA_vs_D21_CTRL","D21_D6_RA_vs_D21_D6_CTRL","Upregulated",502
"D21_RA_vs_D21_CTRL","D21_D8_RA_vs_D21_D8_CTRL","Downregulated",301
"D21_RA_vs_D21_CTRL","D21_D8_RA_vs_D21_D8_CTRL","Upregulated",429
"T21_CTRL_vs_D21_CTRL","T21_D10_CTRL_vs_D21_D10_CTRL","Downregulated",40
"T21_CTRL_vs_D21_CTRL","T21_D10_CTRL_vs_D21_D10_CTRL","Upregulated",101
"T21_CTRL_vs_D21_CTRL","T21_D3_CTRL_vs_D21_D3_CTRL","Downregulated",34
"T21_CTRL_vs_D21_CTRL","T21_D3_CTRL_vs_D21_D3_CTRL","Upregulated",92
"T21_CTRL_vs_D21_CTRL","T21_D4_CTRL_vs_D21_D4_CTRL","Downregulated",32
"T21_CTRL_vs_D21_CTRL","T21_D4_CTRL_vs_D21_D4_CTRL","Upregulated",108
"T21_CTRL_vs_D21_CTRL","T21_D6_CTRL_vs_D21_D6_CTRL","Downregulated",35
"T21_CTRL_vs_D21_CTRL","T21_D6_CTRL_vs_D21_D6_CTRL","Upregulated",95
"T21_CTRL_vs_D21_CTRL","T21_D8_CTRL_vs_D21_D8_CTRL","Downregulated",32
"T21_CTRL_vs_D21_CTRL","T21_D8_CTRL_vs_D21_D8_CTRL","Upregulated",102
"T21_RA_vs_D21_RA","T21_D10_RA_vs_D21_D10_RA","Downregulated",275
"T21_RA_vs_D21_RA","T21_D10_RA_vs_D21_D10_RA","Upregulated",312
"T21_RA_vs_D21_RA","T21_D4_RA_vs_D21_D4_RA","Downregulated",29
"T21_RA_vs_D21_RA","T21_D4_RA_vs_D21_D4_RA","Upregulated",91
"T21_RA_vs_D21_RA","T21_D6_RA_vs_D21_D6_RA","Downregulated",39
"T21_RA_vs_D21_RA","T21_D6_RA_vs_D21_D6_RA","Upregulated",163
"T21_RA_vs_D21_RA","T21_D8_RA_vs_D21_D8_RA","Downregulated",125
"T21_RA_vs_D21_RA","T21_D8_RA_vs_D21_D8_RA","Upregulated",368
"T21_RA_vs_T21_CTRL","T21_D10_RA_vs_T21_D10_CTRL","Downregulated",1144
"T21_RA_vs_T21_CTRL","T21_D10_RA_vs_T21_D10_CTRL","Upregulated",1379
"T21_RA_vs_T21_CTRL","T21_D4_RA_vs_T21_D4_CTRL","Downregulated",743
"T21_RA_vs_T21_CTRL","T21_D4_RA_vs_T21_D4_CTRL","Upregulated",1121
"T21_RA_vs_T21_CTRL","T21_D6_RA_vs_T21_D6_CTRL","Downregulated",532
"T21_RA_vs_T21_CTRL","T21_D6_RA_vs_T21_D6_CTRL","Upregulated",835
"T21_RA_vs_T21_CTRL","T21_D8_RA_vs_T21_D8_CTRL","Downregulated",728
"T21_RA_vs_T21_CTRL","T21_D8_RA_vs_T21_D8_CTRL","Upregulated",1059
