sampleID_unique,score,module,sampleID,genotype,treatment_protocol,timepoint,fullSampleID,sex,experimentalBatch,treatment,genotype_treatment,genotype_timepoint,genotype_timepoint_treatment,genotype_timepoint_treatment_batch,seq_run,cell_set,sampleID_original,day_num
Set3_SAB01,-0.1001161135030681,xu_atrial,SAB01,D21,No Treatment,D3,S3D21_D3_ctrl_1,F,1,CTRL,D21_CTRL,D21_D3,D21_D3_CTRL,D21_D3_CTRL_1,1,Set3,SAB01,3
Set3_SAB02,-0.1167689369540405,xu_atrial,SAB02,T21,No Treatment,D3,S3T21 _D3 _ctrl_1,F,1,CTRL,T21_CTRL,T21_D3,T21_D3_CTRL,T21_D3_CTRL_1,1,Set3,SAB02,3
Set3_SAB03,-0.04830575990778724,xu_atrial,SAB03,D21,No Treatment,D4,S3D21_D4_ctrl_1,F,1,CTRL,D21_CTRL,D21_D4,D21_D4_CTRL,D21_D4_CTRL_1,1,Set3,SAB03,4
Set3_SAB04,-0.08092489631713956,xu_atrial,SAB04,T21,No Treatment,D4,S3T21 _D4 _ctrl_1,F,1,CTRL,T21_CTRL,T21_D4,T21_D4_CTRL,T21_D4_CTRL_1,1,Set3,SAB04,4
Set3_SAB05,-0.017945327773445874,xu_atrial,SAB05,D21,1uM RA D3-D5,D4,S3D21_D4_RA_1,F,1,RA,D21_RA,D21_D4,D21_D4_RA,D21_D4_RA_1,1,Set3,SAB05,4
Set3_SAB06,-0.03104835519996385,xu_atrial,SAB06,T21,1uM RA D3-D5,D4,S3T21 _D4_RA_1,F,1,RA,T21_RA,T21_D4,T21_D4_RA,T21_D4_RA_1,1,Set3,SAB06,4
Set3_SAB07,0.1358090088257563,xu_atrial,SAB07,D21,No Treatment,D6,S3D21_D6_ctrl_1,F,1,CTRL,D21_CTRL,D21_D6,D21_D6_CTRL,D21_D6_CTRL_1,1,Set3,SAB07,6
Set3_SAB08,0.1379589449774553,xu_atrial,SAB08,T21,No Treatment,D6,S3T21 _D6_ctrl_1,F,1,CTRL,T21_CTRL,T21_D6,T21_D6_CTRL,T21_D6_CTRL_1,1,Set3,SAB08,6
Set3_SAB09,0.09032839497802037,xu_atrial,SAB09,D21,1uM RA D3-D5,D6,S3D21_D6_RA_1,F,1,RA,D21_RA,D21_D6,D21_D6_RA,D21_D6_RA_1,1,Set3,SAB09,6
Set3_SAB10,0.1429255517510255,xu_atrial,SAB10,T21,1uM RA D3-D5,D6,S3T21 _D6_RA_1,F,1,RA,T21_RA,T21_D6,T21_D6_RA,T21_D6_RA_1,1,Set3,SAB10,6
Set3_SAB11,0.2591181589088156,xu_atrial,SAB11,D21,No Treatment,D8,S3D21_D8_ctrl_1,F,1,CTRL,D21_CTRL,D21_D8,D21_D8_CTRL,D21_D8_CTRL_1,1,Set3,SAB11,8
Set3_SAB12,0.2683168344803426,xu_atrial,SAB12,T21,No Treatment,D8,S3T21 _D8_ctrl_1,F,1,CTRL,T21_CTRL,T21_D8,T21_D8_CTRL,T21_D8_CTRL_1,1,Set3,SAB12,8
Set3_SAB13,0.27184967962843676,xu_atrial,SAB13,D21,1uM RA D3-D5,D8,S3D21_D8_RA_1,F,1,RA,D21_RA,D21_D8,D21_D8_RA,D21_D8_RA_1,1,Set3,SAB13,8
Set3_SAB14,0.3281845046388898,xu_atrial,SAB14,T21,1uM RA D3-D5,D8,S3T21 _D8_RA_1,F,1,RA,T21_RA,T21_D8,T21_D8_RA,T21_D8_RA_1,1,Set3,SAB14,8
Set3_SAB15,0.28090568532393123,xu_atrial,SAB15,D21,No Treatment,D10,S3D21_D10_ctrl_1,F,1,CTRL,D21_CTRL,D21_D10,D21_D10_CTRL,D21_D10_CTRL_1,1,Set3,SAB15,10
Set3_SAB16,0.2792487371597111,xu_atrial,SAB16,T21,No Treatment,D10,S3T21 _D10_ctrl_1,F,1,CTRL,T21_CTRL,T21_D10,T21_D10_CTRL,T21_D10_CTRL_1,1,Set3,SAB16,10
Set3_SAB17,0.31719044874620017,xu_atrial,SAB17,D21,1uM RA D3-D5,D10,S3D21_D10_RA_1,F,1,RA,D21_RA,D21_D10,D21_D10_RA,D21_D10_RA_1,1,Set3,SAB17,10
Set3_SAB18,0.3418582115695381,xu_atrial,SAB18,T21,1uM RA D3-D5,D10,S3T21 _D10_RA_1,F,1,RA,T21_RA,T21_D10,T21_D10_RA,T21_D10_RA_1,1,Set3,SAB18,10
Set3_SAB19,-0.08022849781333696,xu_atrial,SAB19,D21,No Treatment,D3,S3D21_D3_ctrl_2,F,2,CTRL,D21_CTRL,D21_D3,D21_D3_CTRL,D21_D3_CTRL_2,1,Set3,SAB19,3
Set3_SAB20,-0.0902959057983298,xu_atrial,SAB20,T21,No Treatment,D3,S3T21 _D3 _ctrl_2,F,2,CTRL,T21_CTRL,T21_D3,T21_D3_CTRL,T21_D3_CTRL_2,1,Set3,SAB20,3
Set3_SAB21,-0.01974353324066852,xu_atrial,SAB21,D21,No Treatment,D4,S3D21_D4_ctrl_2,F,2,CTRL,D21_CTRL,D21_D4,D21_D4_CTRL,D21_D4_CTRL_2,1,Set3,SAB21,4
